type,name,size,vintage,winery,qty,purchase_price_eur,sales_price_eur
WHITE,Beyond the clouds,,2019,,1,,
WHITE,Pulsar Blanc – Natural wine in Anfora,,2016,,1,,
RED,Kermesse – MAG,MAGNUM,2020,,1,,152
RED,,,2017,,1,,
RED,,,2019,,1,,
RED,,,2017,,1,,
RED,Nebbiolo Val dei Preti 3L,JEROBOAM,2020,,1,,176
WHITE,Nova Domus,,2019,,2,,
RED,Blauburg. Mason de Mason - biodyn,,2016,,2,,108
RED,"Blauburg. Ris. ""Vigna Ganger"" MAG",MAGNUM,2019,,2,,315
RED,Tignanello - MAG,MAGNUM,2021,,2,,
RED,Barolo - Antiche Cantine,,2017,,2,,76
RED,Prelit (Merlot - Cab. Sauvignon) - natural wine,,2014,,2,,59
,"5Quintessenz Passito 0,375 l",HALF_BOTTLE,2017,,2,,
RED,Soma – MAG,MAGNUM,2022,,3,,96
RED,Blauburgunder Ris. Pinot Noir,,2019,,3,,82
RED,,,2015,,3,,
RED,Villa Antinori Rosso IGT Rosso Mag,MAGNUM,2022,,3,,72
RED,Nebbiolo Val dei Preti MAG,MAGNUM,2020,,3,,88
RED,Barbaresco Montestefano,,2015,,3,,64
RED,Barbaresco Rabajà,,2020,,3,,119
WHITE,"Chardonnay ""Löwengang"" - biodyn",,2018,,4,,89
WHITE,Sauvignon Lafòa – MAG,MAGNUM,2021,,4,,
WHITE,,,2021,,4,,
RED,Blauburg. Ris. Praepositus,,2018,,4,,63
RED,Barbaresco Mag,,2022,Bruno Rocca,4,,
WHITE,,,2019,,5,,
WHITE,Beyond the clouds,,2021,,6,,
WHITE,Riesling Pfaffenberg Undhof,,2018,Erich Salomon,6,,
WHITE,Riesling Ruppertsberger Hoheburg P.C.,,2022,,6,,74
RED,"Cabernet Sauvig. ""Barleit"" - Anfora",,2020,,6,,77
RED,Hebo,,2022,,6,,
RED,Nebbiolo Val dei Preti,,2018,,6,,44
RED,"Nebbiolo ""Fralù"" MAG",MAGNUM,2022,,9,,82
WHITE,Sauvignon Tasnim,,2022,Loacker,11,,
RED,Villa Donoratico - Bolgheri,,2020,,11,,
RED,Nebbiolo Val dei Preti,,2021,,11,,44
RED,Moratel IGT Bio,,2019,,12,,
RED,Tignanello,,2021,,12,,
RED,Volpolo DOC Bolgheri,,2022,,12,,44
WHITE,Pulsar Blanc – Natural wine in Anfora,,2018,,16,,
WHITE,Abendrot – Natural wine   Wein.Werk,,2019,,24,,
RED,"Nebbiolo ""Fralù""",,2023,,24,,
RED,Barbaresco,,2022,Bruno Rocca,24,,
,(Prosecco Valdobbiadene),,,,,,
,(Prosecco Valdobbiadene),,,,,,
,(Prosecco Valdobbiadene),,,,,,
,(Chardonnay – Pinot Noir),,,,,,
,(Pinot bianco – Chardonnay – Pinot nero),,,,,,
,(Pinot bianco – Chardonnay – Pinot nero),,,,,,
,(Chardonnay – Malvasia),,,,,,
,(Solaris),,,,,,
,(Chardonnay),,,,,,
,(Chardonnay),,,,,,
,(Chardonnay),,,,,,
,(Chardonnay),,,,,,
,,,,,,,
WHITE,(Weißburgunder-Chardonnay-Sauvignon Blanc),,,,,,
WHITE,(Chardonnay-Riesling-Gewürztraminer),,,,,,
WHITE,(Chardonnay-Riesling-Gewürztraminer),,,,,,
WHITE,(Pinot bianco-Sauvignon-Chardonnay),,,,,,
WHITE,(Pinot bianco-Sauvignon-Chardonnay),,,,,,
