wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes,visible
wine_01h0my5sa6p5qx7ntztkxh743h,,BOTTLE,2022,3600,910,,,9,"Ultimo acquisto pre-vinoteqa (18/07/2024): 6 x 9,10 € da Vinum Bozen",True
wine_01gzr4kt84p32acb7v4yb1s1mc,,BOTTLE,2011,0,3590,,,4,"Ultimo acquisto pre-vinoteqa (17/01/2020): 3 x 35,90 € da Weindiele",True
wine_01gzr4ksk5r3k3vmbj8sh6xb8m,,BOTTLE,2018,4300,1470,,,5,"Ultimo acquisto pre-vinoteqa (07/12/2023): 6 x 14,70 € da Fine Wines",True
wine_01h0qzm2tw7casdabj21s14q2n,,BOTTLE,2021,4400,1710,,,4,"Ultimo acquisto pre-vinoteqa (19/12/2024): 6 x 17,10 € da Vinum Bozen",True
wine_01h0sq47v1whxttr1t2mvhha0e,,BOTTLE,2021,8900,4200,,,2,"Ultimo acquisto pre-vinoteqa (19/07/2024): 2 x 42,00 € da Weindiele",True
wine_01gzr4ksqc2qy7wpkfn0qyege3,,BOTTLE,2016,13800,7600,,,3,"Ultimo acquisto pre-vinoteqa (25/03/2025): 1 x 76,00 € da Weindiele",True
wine_01h0my5rnevt435r0456f07afq,,BOTTLE,2021,4300,1560,,,9,"Ultimo acquisto pre-vinoteqa (10/01/2024): 6 x 15,60 € da Weindiele",True
wine_01gzr4ksd7xxn6av2sket6k35p,,BOTTLE,2016,8000,3779,,,8,"Ultimo acquisto pre-vinoteqa (07/03/2024): 6 x 37,80 € da Fine Wines",True
wine_01h0sq47572fk9hzmravcwa2ef,,BOTTLE,2020,4400,1789,,,5,"Ultimo acquisto pre-vinoteqa (25/08/2024): 3 x 17,90 € da Weindiele",True
wine_01gzr4kt1sc8j7hcdw3gp7r02e,,BOTTLE,2019,4500,1460,,,7,"Ultimo acquisto pre-vinoteqa (25/03/2025): 3 x 14,60 € da Weindiele",True
wine_01gzr4kssa0d01856gqtswwq77,,BOTTLE,2019,4700,1520,,,4,"Ultimo acquisto pre-vinoteqa (09/03/2024): 6 x 15,20 € da Weindiele",True
wine_01gzr4kskv9y7t62t3vethmey1,,BOTTLE,2022,0,1750,,,15,"Ultimo acquisto pre-vinoteqa (14/06/2024): 12 x 17,50 € da Livio Felluga",True
wine_01gzr4kt16rhwfyrtm8xdtxbjw,,BOTTLE,2023,3600,960,,,20,"Ultimo acquisto pre-vinoteqa (06/12/2024): 24 x 9,60 € da Avenue - Elena Walch",True
wine_01gzr4ksq0crfbq5ea5ydtdv5e,,BOTTLE,2017,0,9400,,,3,"Ultimo acquisto pre-vinoteqa (19/07/2024): 1 x 94,00 € da Weindiele",True
wine_01h0my5t5ktv3me86nqhke60yq,,BOTTLE,2022,4000,1320,,,9,"Ultimo acquisto pre-vinoteqa (27/12/2024): 6 x 13,20 € da Weindiele",True
wine_01gzr4kt6w6v9trkyjc8rkxh0j,,BOTTLE,2021,5000,2350,,,6,"Ultimo acquisto pre-vinoteqa (14/01/2025): 6 x 23,50 € da Weindiele",True
wine_01gzr4ksdbejsekea388c40hrq,,BOTTLE,2017,4200,1545,,,7,"Ultimo acquisto pre-vinoteqa (11/09/2024): 6 x 15,45 € da Liber International",True
wine_01h0qzm02peg5pdhge0gfsas24,,BOTTLE,2023,3500,785,,,25,"Ultimo acquisto pre-vinoteqa (13/02/2025): 6 x 7,85 € da Weindiele",True
wine_01h0qsxngfqm2rz6wj581p8v42,,BOTTLE,2023,3300,600,,,7,"Ultimo acquisto pre-vinoteqa (31/03/2024): 12 x 6,00 € da Tenuta Coppadoro",True
wine_01h0qzm2wz1nke0pfb03307jm8,,BOTTLE,2020,6000,2790,,,23,"Ultimo acquisto pre-vinoteqa (31/12/2024): 6 x 27,90 € da Vinum Bozen",True
